"product","title","content","date","variant","verified","author","rating"
"Intel Core i5-9600K Desktop Processor 6 Cores up to 4.6 GHz Turbo unlocked LGA1151 300 Series 95W","Why are you supporting this product?","2700x is literally an overall better CPU across more metrics. Intels screwing their customers by forcing hyperthreading on its next step up CPU. Either of the 2 are over priced garbage with not even 2% better performance than the 8700k in gaming. Do some research you will see this ""gen"" has 1-2 more FPS max in gaming compared to 8700k. That goes for the 9900k as well!! 9600k is the only one I would reccomend here. The 8700k is better than this for a cheaper cost because of its hyper threading. Buying more of these processors is only entitling intel to continue the outrageous price hike. First it was no improvements on their cpus for years. Now it's the same with this ""generation"" but a hefty slap in the face for cost.","12 Nov 2018","Style: 9700K","No","RandyMarsh","1.0"
"Intel Core i5-9600K Desktop Processor 6 Cores up to 4.6 GHz Turbo unlocked LGA1151 300 Series 95W","Get it!! Worth every penny!!","Was debating whether to get this one or the i7-9700k. Glad i choose this one, save me the extra $150. This is also my first unlocked series cpu. Was easily able to OC to 5.1ghz with a flip of a switch, paired with MSI Z390 gaming edge mobo. So far no issues, this thing is BEAST! Very Fast!","04 Nov 2018","Style: 9600K","Yes","Amazon Customer","5.0"
"Intel Core i5-9600K Desktop Processor 6 Cores up to 4.6 GHz Turbo unlocked LGA1151 300 Series 95W","Intel 14nm has hit the ceiling","I'm torn with this processor. Moving up from the 6600k at 4.5Ghz that I ran for the past 2 years this processor obviously is much better than the first gen 14nm in productivity. However I can't say that I'm blown away by the gaming performance increase that I netted. Moving from an 8700k to this 9700k would make little to no sense at all. I put off finishing a new PC since March of this year for the z390 platform and it's accompanying 9th series chips. I don't feel like I would have missed out on much by utilizing z370 and the 8700k however. I have my 9700k overclocked at a stable 4.9Ghz across all cores with 1.250 volts on the vcore, but have not had luck being able to hit 5Ghz even at 1.4 volts. I'm not going to go higher for temperature reasons. Maybe it's my chip and the silicon lottery was not in my favor. Temperatures are fairly good for the packaged power. With my H150i Pro 360mm AIO and Thermal Grizzly Kryonaut my CPU will idle around 30 C with a room temp of 23 C. My 6600k idled at 24 C with a Hyper 212 evo. After 30 minutes on Prime95 I max around 80 C and it will not rise after any further length of testing. New build: Aigo Atlantis case i7 9700k @ 4.9Ghz Z390 MSI Gaming Pro Carbon motherboard 1tb 970 EVO M.2 SSD MSI RTX 2080 Ti Corsair H150i Pro 360mm AIO 16gb Corsair Vengeance PRO RGB 3200mhz Corsair RM750x power supply 7 ea - 120mm Aigo RGB fans with controller","24 Oct 2018","Style: 9700K","Yes","mustang_agf","4.0"
"Intel Core i5-9600K Desktop Processor 6 Cores up to 4.6 GHz Turbo unlocked LGA1151 300 Series 95W","Best gaming processor you can find.","My setup: Intel i7-9700K @ 5.0 Ghz Noctua NH-U14S (2 fan) Asus ROG Maximus X Code - BIOS 1704 Team Dark Pro 2x8 CL14  @ 3200 Mhz EVGA RTX 2080 XC Ultra EVGA Supernova 1000W G There's little doubt in my mind this is the best gaming processor available for sale today.  It's fast, reliable and cooler than the previous i7, also very easily overclockable. This processor is so fast for everyday use and gaming I honestly can't think of anything bad to say about it. Having upgraded from an old system, it feels so completely different I cannot recommend it enough, however the best things about it (for me) is its performance while gaming and its thermals. Paired with a RTX 2080 this processor is able to deliver a stable 120+ FPS on most titles I tested in a 2K resolution, multitasking is also incredibly fast, haven't noticed any influence at all on games even with open software in the background. I have it OC'ed with 1.3 Volts Vcore to 5.0Ghz and right now, no problems in any stress tests I tried and I've done absolutely zero tinkering yet, it worked right ou of the box. I'm using a Noctua NH-U14S aircooler with 2 fans and usual load temps (while gaming) are in the high 50s low 60s, on all my stress tests the highest temp I got was 85oC under heavy AVX load, which is unbelievably cool for the setup I think. The soldered IHS is perfect for those who (like me) are not comfortable with deliding their CPUs giving us way better results for zero hassle. I think it's important to say that I'm running it in a (high end) Z370 motherboard and it's working perfectly.","12 Nov 2018","Style: 9700K","Yes","Cliente Amazon","5.0"
"Intel Core i5-9600K Desktop Processor 6 Cores up to 4.6 GHz Turbo unlocked LGA1151 300 Series 95W","Love these idle temps","Haven't seen idle temps this low since my 2600k thanks to the internal thermal material.  Under a custom water loop from EK, from what I've seen so far, they won't crack 30 degrees, even after being ran all day and gaming all day.  Always stays under 30 idle.  Easily over clocks to 5 GHz as well to get those benchmark scores a little higher.  Workstation-level of needs will most likely need to go with some more cores, however. Really happy with this new chip overall since I didn't/don't require 16 threads.  One of the top chips for gamers right now from what I've seen. Edit: got it running at 5.1 GHz @1.38v on all cores, uncore at 48. netted me a score on userbenchmark at 119%.  Temps while gaming stayed right around 55-60 under water still.","06 Nov 2018","Style: 9600K","Yes","Dan Damit","5.0"
"Intel Core i5-9600K Desktop Processor 6 Cores up to 4.6 GHz Turbo unlocked LGA1151 300 Series 95W","A Warning!","If you get this chip and plan on installing it on your z370 motherboard make sure the motherboards bios is up to date so you can use the cpu if not the pc will not post on the monitor so try to get a 8 gen chip and install that after go to your motherboards company website and download the latest update so you can use your i7 9700k ,But after all that hell the cpu works great and is a beast I highly recommend it. I had to go through all that sadly. It paid off this was my first pc i just need a graphics card then I'm set.","08 Nov 2018","Style: 9700K","Yes","Adnan","5.0"
"Intel Core i5-9600K Desktop Processor 6 Cores up to 4.6 GHz Turbo unlocked LGA1151 300 Series 95W","New rig set up and this is a beastly processor for pure gaming!","Coming from I5 6600k I wanted to start pushing more frames for my 240hz monitor and gtx 1080 at 1080p. This processor easily solved that problem. I got it for $235 on sale on amazon. I was debating between this and 2700x but after adding up the cost of pricey Motherboard and ram that the Ryzen needed vs just a good cooler for the Intel it was an easy decision. I compared my system vs my friends with a 2700x(Same graphic card). He has stable 4.3 OC and I am at 5.0 OC. I am averaging about 12-17% better frames. His ram and MB cost $270 more than my MB/Ram setup minus the $60 cooler I brought. So I saved $210 with better performance for gaming, which I can always put towards a better graphics card later. Note I do not stream, so if you stream I would recommend the 2700x or i7 8700k. Conclusion: Pure gamer = Buy Workstation/Steaming/ect. = skip","12 Jan 2019","Style: 9600K","Yes","Jake Studer","5.0"
"Intel Core i5-9600K Desktop Processor 6 Cores up to 4.6 GHz Turbo unlocked LGA1151 300 Series 95W","5.1 ghz at max temp of 79 C","Running at 5.1 with XMP at 3200.  For cooling I am using a corsair h110i and kyronaut thermal paste.  The max core temp recorded was 79 C during cinebrench and cpu mark. Using a Gigabyte Z390 Aorus Ultra.  (Gigabyte probably has the best VRM of this generation of boards) cpu mark - 20352 cinebench r15 - 1631 (stock got 1472)","08 Nov 2018","Style: 9700K","Yes","M.G. Amazon","5.0"
"Intel Core i5-9600K Desktop Processor 6 Cores up to 4.6 GHz Turbo unlocked LGA1151 300 Series 95W","9600K is hot!","I know its more cores, but this sucker is cooking in the 80's with a massive 2 tower air cooler on a full load. [EDIT] After more testing and a application of better TIM, Temps are well under 60's on ful load for longer then an hour.","01 Dec 2018","Style: 9600K","Yes","J Walters","5.0"
"Intel Core i5-9600K Desktop Processor 6 Cores up to 4.6 GHz Turbo unlocked LGA1151 300 Series 95W","I got bamboozled!","Got a fake part. Be wary, apparently this is somewhat common with these.","09 Sep 2019","Style: 9700K","Yes","Chris","1.0"
